IdCatalogoMonte;NumCatalogo;IdComunidad;IdProvincia;IdMunicipio;IdDemanialMonte;IdTitularidadMonte;Descripcion;Propietario;EsProtector;EsConsorciado
28542;0200100;1;1;1;4;2;Monte S.C. del Ayuntamiento;Alegria-Dulantzi;False;False
28543;0200101;1;1;1;4;2;Monte S.C.de Alegría-Dulantzi;Alegría-Dulantzi E.L.M.;False;False
28544;0200102;1;1;1;4;2;Monte S.C.de Eguileta;Eguileta E.L.M.;False;False
28545;0200200;1;1;2;4;2;Monte S.C. del Ayuntamiento;Amurrio;False;False
28546;0200201;1;1;2;4;2;Monte S.C.de Amurrio;Amurrio E.L.M.;False;False
28547;0200202;1;1;2;4;2;Monte S.C.de Artomaña;Artomaña E.L.M.;False;False
28548;0200203;1;1;2;4;2;Monte S.C.de Astobiza;Astobiza E.L.M.;False;False
28549;0200204;1;1;2;4;2;Monte S.C.de Baranbio;Baranbio E.L.M.;False;False
28550;0200205;1;1;2;4;2;Monte S.C.de Delika;Delika E.L.M.;False;False
28551;0200206;1;1;2;4;2;Monte S.C.de Larrinbe;Larrinbe E.L.M.;False;False
28552;0200207;1;1;2;4;2;Monte S.C.de Lekamaña;Lekamaña E.L.M.;False;False
28553;0200208;1;1;2;4;2;Monte S.C.de Lezama;Lezama E.L.M.;False;False
28554;0200209;1;1;2;4;2;Monte S.C.de Onsoño;Onsoño E.L.M.;False;False
28555;0200210;1;1;2;4;2;Monte S.C.de Saratxo;Saratxo E.L.M.;False;False
28556;0200211;1;1;2;4;2;Monte S.C.de Tertanga;Tertanga E.L.M.;False;False
28557;0200212;1;1;2;4;2;Monte S.C.de Aloria;Aloria E.L.M.;False;False
28558;0200300;1;1;3;4;2;Monte S.C. del Ayuntamiento;Aramaio;False;False
28559;0200301;1;1;3;4;2;Monte S.C.de Arexola;Arexola E.L.M.;False;False
28560;0200302;1;1;3;4;2;Monte S.C.de Azkoaga;Azkoaga E.L.M.;False;False
28561;0200303;1;1;3;4;2;Monte S.C.de Barajuen;Barajuen E.L.M.;False;False
28562;0200304;1;1;3;4;2;Monte S.C.de Etxaguen;Etxaguen E.L.M.;False;False
28563;0200305;1;1;3;4;2;Monte S.C.de Gantzaga;Gantzaga E.L.M.;False;False
28564;0200306;1;1;3;4;2;Monte S.C.de Ibarra;Ibarra E.L.M.;False;False
28565;0200307;1;1;3;4;2;Monte S.C.de Olaeta;Olaeta E.L.M.;False;False
28566;0200308;1;1;3;4;2;Monte S.C.de Untzilla;Untzilla E.L.M.;False;False
28567;0200309;1;1;3;4;2;Monte S.C.de Uribarri;Uribarri E.L.M.;False;False
28568;0200310;1;1;3;4;2;Monte S.C.de Gureia;Gureia E.L.M.;False;False
28569;0200400;1;1;4;4;2;Monte S.C. del Ayuntamiento;Artziniega;False;False
28570;0200401;1;1;4;4;2;Monte S.C.de Artziniega;Artziniega E.L.M.;False;False
28571;0200402;1;1;4;4;2;Monte S.C.de Campijo;Campijo E.L.M.;False;False
28572;0200403;1;1;4;4;2;Monte S.C.de Gordéliz;Gordéliz E.L.M.;False;False
28573;0200404;1;1;4;4;2;Monte S.C.de Mendieta;Mendieta E.L.M.;False;False
28574;0200405;1;1;4;4;2;Monte S.C.de Retes de Tudela;Retes de Tudela E.L.M.;False;False
28575;0200406;1;1;4;4;2;Monte S.C.de Santa Coloma;Santa Coloma E.L.M.;False;False
28576;0200407;1;1;4;4;2;Monte S.C.de Sojoguti;Sojoguti E.L.M.;False;False
28577;0200600;1;1;6;4;2;Monte S.C. del Ayuntamiento;Armiñon;False;False
28578;0200601;1;1;6;4;2;Monte S.C.de Armiñon;Armiñon E.L.M.;False;False
28579;0200602;1;1;6;4;2;Monte S.C.de Estavillo;Estavillo E.L.M.;False;False
28580;0200603;1;1;6;4;2;Monte S.C.de Lacorzana;Lacorzana E.L.M.;False;False
28581;0200800;1;1;8;4;2;Monte S.C. del Ayuntamiento;Arrazua-ubarrundia;False;False
28582;0200801;1;1;8;4;2;Monte S.C.de Arroiabe;Arroiabe E.L.M.;False;False
28583;0200802;1;1;8;4;2;Monte S.C.de Arzubiaga;Arzubiaga E.L.M.;False;False
28584;0200803;1;1;8;4;2;Monte S.C.de Azua;Azua E.L.M.;False;False
28585;0200804;1;1;8;4;2;Monte S.C.de Betolaza;Betolaza E.L.M.;False;False
28586;0200805;1;1;8;4;2;Monte S.C.de Ziriano;Ziriano E.L.M.;False;False
28587;0200806;1;1;8;4;2;Monte S.C.de Durana;Durana E.L.M.;False;False
