IdAprovechamiento;IdIdioma;Descripcion;DescripcionCorta
1;0;En aprovechamiento de corcho;Corcho
1;1;En aprofitament de suro;Suro
1;2;Kortxoa erabiltzean;Kortxoa
1;3;En uso de cortiza;Corcho
1;4;En aprofitament de suro;Suro
1;5;En aprofitament de suro;Suro
2;0;En aprovechamiento de resinas;Resinas
2;1;En aprofitament de resines;Resines
2;2;Erretxinak erabiltzean;Erretxinak
2;3;En usode resinas;Resinas
2;4;En aprofitament de resines;Resines
2;5;En aprofitament de resines;Resines
3;0;En aprovechamiento de frutos y setas;Frutos y setas
3;1;En aprofitament de fruits i bolets;Fruits i bolets
3;2;Fruta eta perretxikoak biltzea;Fruta eta perretxikoak
3;3;Na colleita de froitas e champiñóns;Froitas e champiñóns
3;4;En aprofitament de fruits i bolets;Fruits i bolets
3;5;En aprofitament de fruits i bolets;Fruits i bolets
4;0;En aprovechamiento de leñas;Leñas
4;1;En aprofitament de llenyes;Llenyes
4;2;Egurraren erabilera;Egurra
4;3;En uso de leñas;Leñas
4;4;En aprofitament de llenyes;Llenyes
4;5;En aprofitament de llenyes;Llenyes
5;0;En aprovechamiento de pastos;Pastos
5;1;En aprofitament de pastures;Pastures
5;2;Larreko ustiapena;Larreko
5;3;En uso de pastos;Pastos
5;4;En aprofitament de pastures;Pastures
5;5;En aprofitament de pastures;Pastures
6;0;En aprovechamiento de caza;Caza
6;1;En aprofitament de caça;Caça
6;2;Ehiza ustiapena;Ehiza
6;3;Na explotación da caza;Caza
6;4;En aprofitament de caça;Caça
6;5;En aprofitament de caça;Caça
7;0;Otras pérdidas forestales;Otras pérdidas
7;1;Altres pèrdues forestals;Altres pèrdues
7;2;Beste baso galerak;Beste galerak
7;3;Outras perdas forestales;Outras perdas
7;4;Altres pèrdues forestals;Altres pèrdues
7;5;Altres pèrdues forestals;Altres pèrdues
