IdCausa;Descripcion;DescripcionCorta;IdIdioma;IdCausaEuropa;DescripcionEuropa
100;Rayo;Rayo;0;ES_100;Lightning
100;Llamp;Llamp;1;ES_100;Lightning
100;Tximista;Tximista;2;ES_100;Lightning
100;Lóstgrego;Lóstgrego;3;ES_100;Lightning
100;Llamp;Llamp;4;ES_100;Lightning
100;Llamp;Llamp;5;ES_100;Lightning
210;Otras quemas agrícolas;Quema agrícola (s.e.);0;ES_210;Agricultural burning
210;Crema agrícola;Crema agrícola (s.e);1;ES_210;Agricultural burning
210;Nekazaritza-erreketak;Nekazaritza-E. (z.g.);2;ES_210;Agricultural burning
210;Queima agrícola;Queima Agrícola (s.e.);3;ES_210;Agricultural burning
210;Crema agrícola;Crema agrícola (s.e);4;ES_210;Agricultural burning
210;Crema agrícola;Crema agrícola (s.e);5;ES_210;Agricultural burning
211;Quema agrícola (quema de rastrojos);Quemas de rastrojos;0;ES_211;Stubs burning
211;Crema agrícola (crema de rostolls);Crema agrícola (rostolls);1;ES_211;Stubs burning
211;Nekazaritza-erreketak (ibintze-erreketa);Nekazaritza-E. (Sastrakak);2;ES_211;Stubs burning
211;Queima agrícola (queima de rastrollos);Queima Agrícola (rastrollos);3;ES_211;Stubs burning
211;Crema agrícola (crema de rostolls);Crema agrícola (rostolls);4;ES_211;Stubs burning
211;Crema agrícola (crema de rostolls);Crema agrícola (rostolls);5;ES_211;Stubs burning
212;Quema de restos de poda;Quema agrícola (restos poda);0;ES_212;Burning of pruning derbies
212;Crema agrícola (crema de restes de poda);Crema agricola (restes poda);1;ES_212;Burning of pruning derbies
212;Nekazaritza-erreketak (inausketaren ondarren erreketa);Nekazaritza-E. (Inausketaren ondarrak);2;ES_212;Burning of pruning derbies
212;Queima agrícola (queima de restos de poda);Queima agrícola (restos poda);3;ES_212;Burning of pruning derbies
212;Crema agrícola (crema de restes de poda);Crema agricola (restes poda);4;ES_212;Burning of pruning derbies
212;Crema agrícola (crema de restes d’esporgada);Crema agrícola (restes esporgada);5;ES_212;Burning of pruning derbies
213;Quema de restos agrícolas (viñas,etc);Quema de restos agrícolas (viñas,etc);0;ES_215;Other fires set for agricultural purposes
213;Crema de restes agrícoles (vinyes, etc.);Crema de restes agrícoles;1;ES_215;Other fires set for agricultural purposes
213; Nekazaritza hondarrak erretzea (mahastiak, etab.); Nekazaritza hondarrak erretzea ;2;ES_215;Other fires set for agricultural purposes
213; Queima de restos agrícolas (viñedos, etc.); Queima de restos agrícolas;3;ES_215;Other fires set for agricultural purposes
213;Crema de restes agrícoles (vinyes, etc.);Crema de restes agrícoles;4;ES_215;Other fires set for agricultural purposes
213;Crema de restes agrícoles (vinyes, etc.);Crema de restes agrícoles;5;ES_215;Other fires set for agricultural purposes
214;Quema de restos horto-frutícolas;Quema de restos horto-frutícolas;0;ES_215;Other fires set for agricultural purposes
214; Crema de restes horto-frutícoles; Crema de restes horto-frutícoles;1;ES_215;Other fires set for agricultural purposes
214; Baratzezaintza aztarnak erretzea; Baratzezaintza aztarnak erretzea;2;ES_215;Other fires set for agricultural purposes
214; Queima de restos hortícolas; Queima de restos hortícolas;3;ES_215;Other fires set for agricultural purposes
214; Crema de restes horto-frutícoles; Crema de restes horto-frutícoles;4;ES_215;Other fires set for agricultural purposes
214; Crema de restes horto-frutícoles; Crema de restes horto-frutícoles;5;ES_215;Other fires set for agricultural purposes
215;Quema de pacas;Quema de pacas;0;ES_215;Other fires set for agricultural purposes
215; Crema de bales; Crema de bales;1;ES_215;Other fires set for agricultural purposes
215; Baltsak erretzea; Baltsak erretzea;2;ES_215;Other fires set for agricultural purposes
215; Fardos ardentes; Fardos ardentes;3;ES_215;Other fires set for agricultural purposes
215; Crema de bales; Crema de bales;4;ES_215;Other fires set for agricultural purposes
215; Crema de bales; Crema de bales;5;ES_215;Other fires set for agricultural purposes
216;Quema para limpieza de fincas (excepto rastrojos);Quema para limpieza de fincas (excepto rastrojos);0;ES_215;Other fires set for agricultural purposes
216; Crema per a neteja de finques (excepte rostolls); Crema per a neteja de finques;1;ES_215;Other fires set for agricultural purposes
216;Quema para limpieza de fincas (excepto rastrojos);Quema para limpieza de fincas;2;ES_215;Other fires set for agricultural purposes
216;Quema para limpieza de fincas (excepto rastrojos);Quema para limpieza de fincas;3;ES_215;Other fires set for agricultural purposes
216; Crema per a neteja de finques (excepte rostolls); Crema per a neteja de finques;4;ES_215;Other fires set for agricultural purposes
216; Crema per a neteja de finques (excepte rostolls); Crema per a neteja de finques;5;ES_215;Other fires set for agricultural purposes
220;Otras quemas ganaderas;Otras quemas ganaderas (sin especificar);0;ES_220;Pasture regeneration burning
220; Altres cremes ramaderes; Altres cremes ramaderes (sense especificar);1;ES_220;Pasture regeneration burning
220; Abeltzaintzako bestelako erredurak; Abeltzaintzako bestelako erredurak (zehaztugabea);2;ES_220;Pasture regeneration burning
220;Outras quemaduras de gando;Outras quemaduras de gando (sen especificar);3;ES_220;Pasture regeneration burning
220; Altres cremes ramaderes; Altres cremes ramaderes (sense especificar);4;ES_220;Pasture regeneration burning
220; Altres cremes ramaderes; Altres cremes ramaderes (sense especificar);5;ES_220;Pasture regeneration burning
