IdDemanialMonte;IdIdioma;Descripcion;DescripcionCorta
1;0;Montes CUP;Monte C.U.P.
1;1;Forests CUP;Forests CUP
1;2;CUP mendiak;CUP mendiak
1;3;Montes CUP;Monte C.U.P.
1;4;Forests CUP;Monte C.U.P.
1;5;Forests CUP;Forests CUP
2;0;Montes comunales;Monte comunal
2;1;Forests comunals;Forests comunals
2;2;Komunitatea Montes;Komunitatea Montes
2;3;Comunidade Montes;Comunidade Montes
2;4;Forests comunals;Forests comunals
2;5;Forests comunals;Forests comunals
3;0;Uso o servicio público;Uso o servicio público
3;1;Ús o servei públic;Ús o servei públic
3;2;Erabilera edo zerbitzu publikoa;Erabilera edo zerbitzu publikoa
3;3;Uso ou servizo público;Uso ou servizo público
3;4;Ús o servei públic;Ús o servei públic
3;5;Ús o servei públic;Ús o servei públic
4;0;No demaniales;No demanial
4;1;No demaniales;No demanial
4;2;Ez jabari publikokoa;Ez jabari publikokoa
4;3;No demaniales;No demanial
4;4;No demaniales;No demanial
4;5;No demaniales;No demanial
