IdDetectadoPor;Nombre;IdIdioma
0;SIN DATOS;0
0;SENSE DADES;1
0;DATURIK GABEKOA;2
0;SEN DATOS;3
0;SENSE DADES;4
0;SENSE DADES;5
1;VIGILANTE FIJO;0
1;VIGILANT FIX;1
1;IKUSKATZAILE FINKOA;2
1;VIXILANTE FIXO;3
1;VIGILANT FIX;4
1;VIGILANT FIX;5
2;AGENTE FORESTAL;0
2;AGENT RURAL;1
2;BASOZAINA;2
2;AXENTE FORESTAL;3
2;AGENT RURAL;4
2;AGENT FORESTAL;5
3;VIGILANTE MÓVIL;0
3;VIGILANT MÒBIL;1
3;LEKUZ-LEKUKO ZAINDAR;2
3;VIXILANTE MÓVIL;3
3;VIGILANT MÒBIL;4
3;VIGILANT MÒBIL;5
4;AERONAVE;0
4;AERONAU;1
4;AIREONTZIA;2
4;AERONAVE;3
4;AERONAU;4
4;AERONAU;5
5;LLAMADA PARTICULAR;0
5;TRUCADA PARTICULAR;1
5;HERRITARREN DEIA;2
5;CHAMADA PARTICULAR;3
5;TRUCADA PARTICULAR;4
5;TELEFONADA PARTICULA;5
6;CC y FF SEGURIDAD;0
6;CC y FF SEGURETAT;1
6;CC y FF SEGURTASUNA;2
6;CC y FF SEGURIDADE;3
6;CC y FF SEGURETAT;4
6;CC y FF SEGURETAT;5
7;OTROS;0
7;ALTRES;1
7;BESTERIK;2
7;OUTROS;3
7;ALTRES;4
7;ALTRES;5
8;EJÉRCITO;0
8;EXÈRCIT;1
8;ARMY;2
8;ARMY;3
8;EXÈRCIT;4
8;EXÈRCIT;5
9;STMAS AUTOMÁTICOS;0
9; SISTMAS AUTOMÀTICS;1
9;SISTEMAK AUTOMATIKOA;2
9;SISTEMAS AUTOMATICAS;3
9; SISTMAS AUTOMÀTICS;4
9; SISTMAS AUTOMÀTICS;5
10;BASE/CDF;0
10;BASE/CDF;1
10;BASE/CDF;2
10;BASE/CDF;3
10;BASE/CDF;4
10;BASE/CDF;5
