IdEstacionMeteorologica;Nombre;Huso;X;Y;codigoalternativo;identificadoraemet;fechabaja
0;Por definir;240;;13213465;;;
010001;VITORIA AERÓDROMO;;;;;9087;
010002;FORONDA-TXOKIZA;;;;;9091O;
010003;VITORIA GASTEIZ AEROPUERTO;;;;;9091R;
020001;HELLÍN;;;;;7096B;
020002;ALBACETE BASE AÉREA;;;;;8175;
020003;CHINCHILLA;;;;;8177A;
020004;ALBACETE;;;;;8178D;
020005;IHELLN/ IALBACET;0;0;0;;;
020006;ITOBAR;0;0;0;;;
020007;IONTUR;0;0;0;;;
020008;IPEASD;0;0;0;;;
020009;IELCHE;0;0;0;;;
020010;IPOZUE;0;0;0;;;
020011;IMOLIN;0;0;0;;;
020012;IANA/IAYNA;0;0;0;;;
020013;ICASAS;0;0;0;;;
020014;IYESTE;0;0;0;;;
020015;IPOZOH;0;0;0;;;
020016;IVILLA;0;0;0;;;
020017;IRIPAR;0;0;0;;;
020018;IPATER;0;0;0;;;
020019;IBOGAR;0;0;0;;;
020020;IALCAR;0;0;0;;;
020021;ISOCOV;0;0;0;;;
020022;ILETUR;0;0;0;;;
020023;INERPI;0;0;0;;;
020024;IABENG1;0;0;0;;;
020025;IALBAC16;0;0;0;;;
020026;IALBAC19;0;0;0;;;
020027;IALBAC31;0;0;0;;;
020028;IALBAC33;0;0;0;;;
020029;IALBAC55;0;0;0;;;
020030;IALBAC58;0;0;0;;;
020031;IALBAC57;0;0;0;;;
020032;IALBAC38;0;0;0;;;
020033;IALBAC35;0;0;0;;;
020034;IALBAC48;0;0;0;;;
020035;IALBAC56;0;0;0;;;
020036;IALBAC34;0;0;0;;;
020037;IALBOR4;0;0;0;;;
020038;IALCAL142;0;0;0;;;
020039;IALMAN11;0;0;0;;;
020040;IALMAN14;0;0;0;;;
020041;IALMAN15;0;0;0;;;
020042;IALMAN16;0;0;0;;;
020043;IALMAN17;0;0;0;;;
020044;IALMAN20;0;0;0;;;
020045;IALMAN22;0;0;0;;;
020046;IALMAN23;0;0;0;;;
020047;IALMAN8;0;0;0;;;
020049;IBALAZ6;0;0;0;;;
020050;IBARRA36;0;0;0;;;
020051;ICASAS6;0;0;0;;;
020052;ICASAS13;0;0;0;;;
020053;ICASAS9;0;0;0;;;
020054;ICAUDE1;0;0;0;;;
020055;ICAUDE10;0;0;0;;;
020056;ICAUDE8;0;0;0;;;
020057;ICAUDE9;0;0;0;;;
020058;ICAUDETE1;0;0;0;;;
020059;ICAUDETE2;0;0;0;;;
020060;ICENIZ1;0;0;0;;;
020061;ICHINC48;0;0;0;;;
020062;ICHINC43;0;0;0;;;
020063;ICHINC36;0;0;0;;;
020064;ICORRA13;0;0;0;;;
020065;ICMELBON2;0;0;0;;;
020066;IELBON1;0;0;0;;;
020067;IENGUE9;0;0;0;;;
020068;IFUENS5;0;0;0;;;
020069;IFUENT112;0;0;0;;;
020070;IFUENT56;0;0;0;;;
020071;IHELLIN10;0;0;0;;;
020072;IHIGUE5;0;0;0;;;
020073;IHOYAG1;0;0;0;;;
020074;IINIES2;0;0;0;;;
020075;IJORQU2;0;0;0;;;
020076;ILAGIN2;0;0;0;;;
020077;IMAHOR20;0;0;0;;;
020078;IMAHOR5;0;0;0;;;
020079;IMAHOR9;0;0;0;;;
020080;IMINAY3;0;0;0;;;
020081;IMINAY5;0;0;0;;;
020082;IMOTIL12;0;0;0;;;
020083;IMOTIL3;0;0;0;;;
020084;IPTROL8;0;0;0;;;
020085;IVILLE208;0;0;0;;;
020086;IPOZOH5;0;0;0;;;
020087;IPOZUE29;0;0;0;;;
020088;ITARAZ19;0;0;0;;;
020089;ITARAZ22;0;0;0;;;
020090;ITOBAR12;0;0;0;;;
020091;ITOBAR13;0;0;0;;;
020092;ITOBAR15;0;0;0;;;
020093;IVILLA1117;0;0;0;;;
020094;ICASTILL60;0;0;0;;;
020095;IDILLA569;0;0;0;;;
