IdEstadoMasa;IdIdioma;DescripcionCorta;Descripcion;EsPrincipal;EsComercial
1;0;R;Repoblado;1;0
1;1;R;Repoblat;1;0
1;2;R;Birpopulatu;1;0
1;3;R;Repoboado;1;0
1;4;R;Repoblat;1;0
1;5;R;Repoblat;1;0
2;0;MB;Monte bravo;1;0
2;1;MB;Monte brau;1;0
2;2;MB;Brave mount;1;0
2;3;MB;Monte bravo;1;0
2;4;MB;Monte brau;1;0
2;5;MB;Monte brau;1;0
3;0;F;Fustal;1;1
3;1;F;Fustal;1;1
3;2;F;Fustal;1;1
3;3;F;Fustal;1;1
3;4;F;Fustal;1;1
3;5;F;Fustal;1;1
4;0;L;Latizal;1;0
4;1;L;Latizal;1;0
4;2;L;Latizal;1;0
4;3;L;Latizal;1;0
4;4;L;Latizal;1;0
4;5;L;Latizal;1;0
