IdGradoResponsabilidad;IdIdioma;Descripcion
1;0;Accidental
1;1;Accidental
1;2;Istripuz
1;3;Accidental
1;4;Accidental
1;5;Accidental
2;0;Negligente
2;1;Negligent
2;2;Za
2;3;Negligente
2;4;Negligent
2;5;Negligent
3;0;Intencionado
3;1;Intencionat
3;2;Nahita
3;3;Destinado
3;4;Intencionat
3;5;Intencionat
4;0;Sin determinar
4;1;Sense determinar
4;2;Ez da zehaztu
4;3;Non determinado
4;4;Sense determinar
4;5;Sense determinar
5;0;Naturales
5;1;Naturals
5;2;Naturalak
5;3;Natural
5;4;Naturals
5;5;Naturals
