IdGrupoMotivacion;IdIdioma;Descripcion
40;0;Motivaciones relacionadas con prácticas tradicionales
40;1;Motivacions relacionades amb pràctiques tradicionals
40;2;Jarduera tradizionalekin erlazionatutako motibazioak
40;3;Motivacións relacionadas con prácticas tradicionais
40;4;Motivacions relacionades amb pràctiques tradicionals
40;5;Motivacions relacionades amb pràctiques tradicionals
41;0;Motivaciones relacionadas con la caza
41;1;Motivacions relacionades amb la caça
41;2;Ehizarekin erlazionatutako motibazioak
41;3;Motivacións relacionadas coa caza
41;4;Motivacions relacionades amb la caça
41;5;Motivacions relacionades amb la caça
42;0;Motivaciones relacionadas con la pesca
42;1;Motivacions relacionades amb la pesca
42;2;Arrantzarekin erlazionatutako motibazioak
42;3;Motivacións relacionadas coa pesca
42;4;Motivacions relacionades amb la pesca
42;5;Motivacions relacionades amb la pesca
43;0;Motivaciones relacionadas con la propiedad
43;1;Motivacions relacionades amb la propietat
43;2;Jabetzarekin erlazionatutako motibazioak
43;3;Motivacións relacionadas coa propiedade
43;4;Motivacions relacionades amb la propietat
43;5;Motivacions relacionades amb la propietat
44;0;Motivaciones relacionadas con la consecución de un beneficio económico
44;1;Motivacions relacionades amb la consecució d'un benefici econòmic
44;2;Irabazi ekonomiko batekin erlazionatutako motibazioak
44;3;Motivacións relacionadas coa consecución dun beneficio económico
44;4;Motivacions relacionades amb la consecució d'un benefici econòmic
44;5;Motivacions relacionades amb la consecució d'un benefici econòmic
45;0;Motivaciones relacionadas con la manifestación de desacuerdos y protestas
45;1;Motivacions relacionades amb la manifestació de desacords i protestes
45;2;Desadostasun eta protesta adierazpenekin erlazionatutako motibazioak
45;3;Motivacións relacionadas coa manifestación de desacordos e protestas
45;4;Motivacions relacionades amb la manifestació de desacords i protestes
45;5;Motivacions relacionades amb la manifestació de desacords i protestes
46;0;Motivaciones relacionadas con venganzas y disputas
46;1;Motivacions relacionades amb venjances i disputes
46;2;Mendeku eta gatazkei loturiko motibazioak
46;3;Motivacións relacionadas coa vinganza e as disputas
46;4;Motivacions relacionades amb venjances i disputes
46;5;Motivacions relacionades amb venjances i disputes
47;0;Motivaciones relacionadas con las fuerzas de orden público
47;1;Motivacions relacionades amb les forces d'ordre públic
47;2;Orden publikoko indarrekin erlazionatutako motibazioak
47;3;Motivacións relacionadas coas forzas do orden público
47;4;Motivacions relacionades amb les forces d'ordre públic
47;5;Motivacions relacionades amb les forces d'ordre públic
48;0;Otras motivaciones
48;1;Altres motivacions
48;2;Bestelako arrazoiengatik
48;3;Outras motivacións
48;4;Altres motivacions
48;5;Altres motivacions
