IdIncidenciaProtecCivil;Descripcion;IdIdioma
1;CORTES DE CARRETERAS;0
1;TALLS DE CARRETERES;1
1;BIDE MOZKETAK;2
1;CORTES DE ESTRADAS;3
1;TALLS DE CARRETERES;4
1;TALLS DE CARRETERES;5
2;CORTES DE LÍNEAS FÉRREAS;0
2;TALLS DE LÍNIES FÈRRIES;1
2;TRENBIDE MOZKETAK;2
2;CORTES DE LIÑAS FÉRREAS;3
2;TALLS DE LÍNIES FÈRRIES;4
2;TALLS DE LÍNIES FÈRRIES;5
3;CORTES DE SUMINISTRO ELÉCTRICO;0
3;TALLS DE SUBMINISTRAMENT ELÈCTRIC;1
3;ELEKTRIZITATE HORNIKETAREN MOZKETAK;2
3;CORTES DE SUMINISTRO ELÉCTRICO;3
3;TALLS DE SUBMINISTRAMENT ELÈCTRIC;4
3;TALLS DE SUBMINISTRAMENT ELÈCTRIC;5
4;CORTES DE TELÉFONO;0
4;TALLS DE TELÈFON;1
4;TELEFONO MOZKETAK;2
4;CORTES DE TELÉFONO;3
4;TALLS DE TELÈFON;4
4;TALLS DE TELÈFON;5
5;EVACUACIONES/CONFINAMIENTOS;0
5;DESALLOTJO D´HABITATGES;1
5;ETXEBIZITZA USTEAK;2
5;DESALOXO DE VIVENDAS;3
5;DESALLOTJO D´HABITATGES;4
5;DESALLOTJO D´HABITATGES;5
6;DAÑOS EN EDIFICACIONES;0
6;MALS EN HABITATGES O NAUS INDUSTRIALS;1
6;KALTEAK ETXEBIZITZA ETA INDUSTRIA-NABEETAN;2
6;DANOS EN VIVENDAS E NAVES INDUSTRIAIS;3
6;MALS EN HABITATGES O NAUS INDUSTRIALS;4
6;MALS EN HABITATGES O NAUS INDUSTRIALS;5
