IdIniciadoJuntoA;Descripcion;IdIdioma
1;AUTOVÍA/CARRETERA;0
1;AUTOVÍA/CARRETERA;1
1;ERREPIDEA;2
1;ESTRADA;3
1;CARRETERA;4
1;CARRETERA;5
2;PISTA/CAMINO;0
2;PISTA FORESTAL;1
2;BASO BIDEA;2
2;PISTA FORESTAL;3
2;PISTA FORESTAL;4
2;PISTA FORESTAL;5
3;SENDA;0
3;SENDA;1
3;MENDI BIDEA;2
3;SENDA;3
3;SENDA;4
3;SENDA;5
4;LÍNEAS ELÉCTRICAS;0
4;LÍNIES ELÈCTRIQUES;1
4;LERRO ELEKTRIKOAK;2
4;LIÑAS ELÉCTRICAS;3
4;LÍNIES ELÈCTRIQUES;4
4;LÍNIES ELÈCTRIQUES;5
5;LUGARES CON AFLUENCIA DE EXCURSIONISTAS;0
5;LLOC AMB AFLUÈNCIA D'EXCURSIONISTES;1
5;TXANGOZALEEK ERABILITAKO TOKIAK;2
5;LUGARES CON AFLUENCIA DE EXCURSIONISTAS;3
5;LLOC AMB AFLUÈNCIA D'EXCURSIONISTES;4
5;LLOCS AMB AFLUÈNCIA D’EXCURSIONISTES;5
6;VÍAS FÉRREAS;0
6;VIES FÈRRIES;1
6;TRENBIDEAK;2
6;VÍAS FÉRREAS;3
6;VIES FÈRRIES;4
6;VIES FÈRRIES;5
8;EDIFICACIONES;0
8;URBANITZACIONS;1
8;URBANIZAZIOAK;2
8;URBANIZACIÓNS;3
8;URBANITZACIONS;4
8;URBANITZACIONS ;5
9;VERTEDEROS;0
9;ABOCADOR;1
9;ZABORTEGIA;2
9;VERTEDOIRO;3
9;ABOCADOR;4
9;ABOCADOR;5
10;OTROS;0
10;ALTRES LLOCS DEL TERRENY FORESTAL;1
10;MENDIKO BESTELAKO TOKIAK;2
10;OUTROS LUGARES DO MONTE;3
10;ALTRES LLOCS DEL TERRENY FORESTAL;4
10;ALTRES LLOCS DE LA FOREST;5
