IdMedioPersonalExt;Descripcion;IdIdioma
1;TÉCNICOSMANDOS DE BOMBEROS;0
1;TÉCNICOSMANDOS DE BOMBERS;1
1;FIREMANren teknikariak;2
1;TÉCNICOS DE FIREMAN;3
1;TÉCNICOSMANDOS DE BOMBERS;4
1;TÉCNICOSMANDOS DE BOMBERS;5
2;AGENTES FORESTALESMEDIO AMBIENTALES;0
2;AGENTS FORESTALESMEDIO AMBIENTALS;1
2;INGURUMEN-AGENTES BIDEAK;2
2;AGENTES AMBIENTAIS FORESTALES;3
2;AGENTS FORESTALESMEDIO AMBIENTALS;4
2;AGENTS FORESTALESMEDIO AMBIENTALS;5
3;COMBATIENTES CUADRILLAS, BRIGADAS, AUTOBOMBAS;0
3;COMBATENTS QUADRILLES, BRIGADES, AUTOBOMBAS;1
3;FIGHTERS, BRIGADES, AUTOBOMBAS FIGHTERS;2
3;FIGHTERS, BRIGADES, AUTOBOMBAS FIGHTERS;3
3;COMBATENTS QUADRILLES, BRIGADES, AUTOBOMBAS;4
3;COMBATENTS QUADRILLES, BRIGADES, AUTOBOMBAS;5
4;BOMBEROS RETENES, BRIGADAS, AUTOBOMBAS;0
4;BOMBERS RETENES, BRIGADES, AUTOBOMBAS;1
4;FIRE FIGHTERS, BRIGADES, AUTOBOMBS;2
4;FIRE FIGHTERS, BRIGADES, AUTOBOMBS;3
4;BOMBERS RETENES, BRIGADES, AUTOBOMBAS;4
4;BOMBERS RETENES, BRIGADES, AUTOBOMBAS;5
5;VOLUNTARIO ORGANIZADO;0
5;VOLUNTARI ORGANITZAT;1
5;VOLUNTARIO ORGANIZADO;2
5;VOLUNTARIO ORGANIZADO;3
5;VOLUNTARI ORGANITZAT;4
5;VOLUNTARI ORGANITZAT;5
6;OTRO PERSONAL CIVIL;0
6;UN ALTRE PERSONAL CIVIL;1
6;BESTE PERTSONAL ZIBILA;2
6;OUTRO PERSOAL CIVIL;3
6;UN ALTRE PERSONAL CIVIL;4
6;UN ALTRE PERSONAL CIVIL;5
7;GUARDIA CIVIL, POLICÍA AUTONÓMICA Y OTRAS;0
7;GUÀRDIA CIVIL, POLICIA AUTONÒMICA I ALTRES;1
7;GUARDIA Zibila, POLITIKA AUTONOMOA ETA BESTEAK;2
7;GUARDIA CIVIL, POLICIA AUTÓNOMA E OUTROS;3
7;GUÀRDIA CIVIL, POLICIA AUTONÒMICA I ALTRES;4
7;GUÀRDIA CIVIL, POLICIA AUTONÒMICA I ALTRES;5
8;PERSONAL DEL EJÉRCITOUME;0
8;PERSONAL DE L´EJÉRCITOUME;1
8;ARMY PERSONNEL;2
8;PERSOAL DE EJÉRCITO;3
8;PERSONAL DE L´EJÉRCITOUME;4
8;PERSONAL DE L´EJÉRCITOUME;5
