IdMedioPesado;Descripcion;IdIdioma
1;AUTOBOMBAS;0
1;AUTOBOMBAS;1
1;AUTOBOMBAS;2
1;AUTOBOMBS;3
1;AUTOBOMBAS;4
1;AUTOBOMBAS;5
2;BULLDOZER;0
2;BULLDOZER;1
2;BULLDOZER;2
2;BULLDOZER;3
2;BULLDOZER;4
2;BULLDOZER;5
3;TRACTORES AGRÍCOLAS;0
3;TRACTORS AGRÍCOLES;1
3;TRAKTOREAK;2
3;TRACTORES AGRÍCOLAS;3
3;TTRACTORS AGRÍCOLES;4
3;TRACTORS AGRÍCOLES;5
4;OTROS;0
4;ALTRES;1
4;BESTE BATZUK;2
4;OUTROS;3
4;ALTRES;4
4;ALTRES;5
5;PMA-UMMT;0
5;PMA-UMMT;1
5;PMA-UMMT;2
5;PMA-UMMT;3
5;PMA-UMMT;4
5;PMA-UMMT;5
6;NODRIZAS;0
6;NODRIZAS;1
6;NODRIZAS;2
6;NODRIZAS;3
6;NODRIZAS;4
6;NODRIZAS;5
7;VEHÍCULOS SANITARIOS;0
7;VEHICLES SANITARIS;1
7;OSASUN BIDEZKO IBILGAILUAK;2
7;VEHICULOS SANITARIOS;3
7;VEHICLES SANITARIS;4
7;VEHICLES SANITARIS;5
8;PICKUP-VPPA;0
8;PICKUP-VPPA;1
8;PICKUP-VPPA;2
8;PICKUP-VPPA;3
8;PICKUP-VPPA;4
8;PICKUP-VPPA;5
