IdTipoEstructural;AnioCreacion;PrimeraDefinicion
1;1997;BOSQUE
2;1997;B. DE PLANTACIÓN
3;1997;B. ADEHESADO
4;1997;COMPLEMENTOS DEL BOSQUE
5;1997;T.D. (TALAS)
6;1997;TEMPORALMENTE DESARBOLADO (INCENDIOS)
7;1997;TEMPORALMENTE DESARBOLADO  (F. NATURALES)
8;1997;MATORRAL
9;1997;HERBAZAL
10;1997;MONTE SIN VEGETACIÓN SUPERIOR
11;1997;A.F.M. (RIBERAS)
12;1997;AFM. (BOSQUETES)
13;1997;A.F.M. (ALINEACIONES)
14;1997;A.F.M. (A.SUELTOS)
15;1997;AGRÍCOLA Y PRADOS ART.
16;1997;ARTIFICIAL
17;1997;HUMEDAL
18;1997;AGUA
19;1997;MAR
20;1997;FUERA DE LÍMITES
21;1998;AUTOPISTAS Y AUTOVÍAS
22;1998;INFRAESTRUCTURAS DE CONDUCCIÓN
23;1998;MINERÍA, ESCOMBRERAS Y VERTEDEROS
24;1998;PRADO CON SEBES
25;1998;MOSAICO ARBOLADO SOBRE CULTIVO
26;1998;MOSAICO ARBOLADO SOBRE FORESTAL DESARBOLADO
27;1998;MOSAICO DESARBOLADO SOBRE CULTIVO
28;1998;CULTIVO CON ARBOLADO DISPERSO
29;2001;PARQUE PERIURBANO
30;2001;ÁREA RECREATIVA
31;2001;IBÓN
32;2001;MONTE BAJO
33;2001;MANCHA
34;2003;PRADO
35;2003;PASTIZAL-MATORRAL
