IdTipoAtaqueIndirecto;Descripcion;IdIdioma
1;APERTURA DE CORTAFUEGO O LÍNEAS DE DEFENSA;0
1;OBERTURA DE TALLAFOC O LÍNIES DE DEFENSA;1
1;SU-EBAKIA EDO DEFENTSA MUGAK;2
1;APERTURA DE CORTAFUEGO OU LIÑAS DE DEFENSA;3
1;OBERTURA DE TALLAFOC O LÍNIES DE DEFENSA;4
1;OBERTURA DE TALLAFOC O LÍNIES DE DEFENSA;5
2;CONTRAFUEGO;0
2;CONTRAFOC;1
2;KONTRASUA ;2
2;CONTRAFUEGO;3
2;CONTRAFOC;4
2;CONTRAFOC;5
4;QUEMAS DE ENSANCHE;0
4;CREMES D'EIXAMPLE;1
4;QUEMAS DE ENSANCHE;2
4;QUEMAS DE ENSANCHE;3
4;CREMES D'EIXAMPLE;4
4;CREMES D'EIXAMPLE;5
