IdTitularidadMonte;IdIdioma;Descripcion;DescripcionCorta
1;0;Montes públicos demaniales;Montes públicos demaniales
1;1;Montes públics demanials;Montes públics demanials
1;2;Estatuko baso publikoak;Estatuko baso publikoak
1;3;Bosques públicos estatais;Bosques públicos estatais
1;4;Montes públics demanials;Montes públics demanials
1;5;Montes públics demanials;Montes públics demanials
2;0;Montes públicos patrimoniales;Montes públicos patrimoniales
2;1;Forests públiques patrimonials;Forests públiques patrimonials
2;2;Baso ondare publikoak;Baso ondare publikoak
2;3;Bosques públicos patrimoniais;Bosques públicos patrimoniais
2;4;Forests públiques patrimonials;Forests públiques patrimonials
2;5;Forests públiques patrimonials;Forests públiques patrimonials
3;0;Montes privados;Montes privados
3;1;Muntanyes privats;Muntanyes privats
3;2;Mendiak pribatuak;Mendiak pribatuak
3;3;Montañas privadas;Montañas privadas
3;4;Muntanyes privats;Muntanyes privats
3;5;Muntanyes privats;Muntanyes privats
4;0;Montes vecinales en mano común;Montes vecinales en mano común
4;1;Muntanyes veïnals en mà comuna;Muntanyes veïnals en mà comuna
4;2;Mendialdean dauden eskualde menditsuak;Mendialdean dauden eskualde menditsuak
4;3;Montañas veciñas en man común;Montañas veciñas en man común
4;4;Muntanyes veïnals en mà comuna;Muntanyes veïnals en mà comuna
4;5;Muntanyes veïnals en mà comuna;Muntanyes veïnals en mà comuna
5;0;Sin prop. Definida (Consorciado o conven.);Sin Propiedad Definida
5;1;Consorciats o conven. (Sense prop. Definida);Consorciats o conven
5;2;Partzuergoak edo Hitzarmenak (helb. zehatzik gabe);Partzuergoak edo Hitzarmenak 
5;3;Consorcios ou convenios (sen propósito definido);Consorcios ou convenios 
5;4;Consorciats o conven. (Sense prop. Definida);Consorciats o conven.
5;5;Consorciats o conven. (Sense prop. Definida);Consorciats o conven.
