IdProvincia;IdVigilante;Nombre;Huso;X;Y;fechabaja
0;0;;28;12345;;
1;0;No determinado;28;;;
1;1;Sin nombre (código 1);;;;
1;4;Sin nombre (código 4);;;;
1;99;Vigilante de otra provincia;;;;
2;0;No determinado;;;;
2;1;Los Poyales;;;;
2;2;Cerro de la Pared;;;;
2;3;Cabeza del Moro;;;;
2;4;Alto del Cacho;;;;
2;5;Peña de las Grajas;;;;
2;6;Bañadero;;;;
2;7;Torcarraya;;;;
2;8;La Coronilla;;;;
2;9;La Serralba;;;;
2;10;Majada Atalaya;;;;
2;11;El Padron;;;;
2;12;Cerro del Helechar;;;;
2;13;El Padrastro;;;;
2;14;Cuarto Alarcon;;;;
2;15;Padroncillo;;;;
2;16;Peña del Cambron;;;;
2;17;La Celada;;;;
2;18;Hoya de M. Manso;;;;
2;19;Monte Ardal;;;;
2;20;Las Fresnedas;;;;
2;21;Pozo Reolid;;;;
2;22;Mingarnao;;;;
2;23;Majada Hueca;;;;
2;24;Lomas del Gamonal;;;;
2;25;Malejon de Paules;;;;
2;26;Alto del Hornillo;;;;
2;27;Pico Trifillas;;;;
2;28;La Marmota;;;;
2;29;Tarazona;0;0;0;
2;30;Molaton;0;0;0;
2;31;Santa Bárbara;0;0;0;
2;32;Sierra del Tobar;0;0;0;
2;33;Peña Bolomba;0;0;0;
2;99;Vigilante de otra provincia;;;;
3;0;No determinado;;;;
3;1;Maigmó;30;705223;4264775;
3;2;Coll de Rates;30;753950;4290147;
3;3;Font Roja;30;714080;4281778;
3;4;Mariola;30;717319;4294363;
3;5;Miserat;30;745030;4301745;
3;6;Aitana;30;735098;4281541;
3;7;Reconco;30;698538;4278164;
3;8;El Salviar;30;714250;4273338;
3;9;Santa Paz;;;;
3;10;Cocoll;30;747800;4291379;
3;11;Serrella;30;734108;4287599;
3;12;Aixorta;30;747593;4285866;
3;13;Cabeçó d'or;30;726598;4268995;
3;14;Reclot;30;679429;4250963;
3;23;Sin nombre (código 23);;;;
3;99;Vigilante de otra provincia;;;;
4;0;No determinado;;;;
4;1;V101 La Jarosa;;;;
4;2;V102 El Gábar;;;;
4;3;V103 Puerto de Lúcar;;;;
4;4;V104 Urrácal;;;;
4;5;V105 La Roza;;;;
4;6;V106 El Calar del Gallinero;;;;
4;7;V107 Tetica;;;;
4;8;V108 Sierra Almagro;;;;
4;9;Sin nombre (código 9);;;;
4;10;Sin nombre (código 10);;;;
4;11;V201 Pozo de Fiñana;;;;
4;12;V202 Montaire;;;;
4;13;V203 Morrón del Peral;;;;
4;14;V204 Picacho;;;;
4;15;V205 Sierra Nevada;;;;
4;16;V206 Ohanes;;;;
4;17;V207 Julio Verne;;;;
4;18;V208 Almerimar;;;;
4;19;V209 La Matanza;;;;
4;20;V210 Sierra Alhamilla;;;;
4;21;V211 La Rellana;;;;
4;25;Sin nombre (código 25);;;;
4;99;Vigilante de otra provincia;;;;
5;0;No determinado;;;;
5;1;Cabeza Mesada;;;;
5;2;La Pinosa;;;;
5;3;La Sillita;;;;
5;4;El Almoclon;;;;
