Codigo;Usos
10;Sin USO especificado
21;Usos tradicionales del fuego
22;Usos tradicionales del fuego
23;Usos tradicionales del fuego
24;Usos tradicionales del fuego
25;Actividades sin uso implicito del fuego
26;Otras actividades con uso de fuego
27;Otras actividades con uso de fuego
28;Usos tradicionales del fuego
29;Otros usos del monte (lúdico o económico)
30;Otros usos del monte (lúdico o económico)
31;Actividades sin uso implicito del fuego
32;Actividades sin uso implicito del fuego
33;Actividades sin uso implicito del fuego
34;Actividades sin uso implicito del fuego
35;Actividades sin uso implicito del fuego
36;Actividades sin uso implicito del fuego
37;Otras actividades con uso de fuego
39;Otros usos del monte (lúdico o económico)
40;Sin USO especificado
50;Sin USO especificado
60;Sin USO especificado
