IdComunidad;IdComarcaIsla;Nombre
1;55;ARRASATE
1;100;INDETERMINADA (VI)
1;101;CANTABRICA
1;102;ESTRIB. DEL GORBEA
1;103;LLANADA
1;104;RIBERAS
1;105;MONTAÑA
1;106;RIOJA ALAVESA
1;2000;INDETERMINADA (SS)
1;2001;BIDASOA BEHEREA
1;2002;DEBA BEHEREA
1;2003;DEBA GARAIA
1;2004;DONOSTIALDEA
1;2005;GOIERRI
1;2006;TOLOSALDEA
1;2007;UROLA-KOSTALDEA
1;4800;INDETERMINADA (BI)
1;4801;PLENTZIA-MUNGIA
1;4802;GERNIKA-BERMEO
1;4803;DURANGUESADO
1;4804;MARKINA
1;4805;ARRATIA-NERBION
1;4806;ENCARTACIONES
1;4807;GRAN BILBAO
2;0;INDETERMINADA
2;1;ALT CAMP
2;2;ALT EMPORDA
2;3;ALT PENEDES
2;4;ALT URGELL
2;5;ALTA RIBAGORZA
2;6;ANOIA
2;7;BAGES
2;8;BAIX CAMP
2;9;BAIX EBRE
2;10;BAIX EMPORDA
2;11;BAIX LLOBREGAT
2;12;BAIX PENEDES
2;13;BARCELONES
2;14;BERGEDA
2;15;CERDANYA
2;16;CONCA DE BARBERA
2;17;GARRAF
2;18;LES GARRIGES
2;19;LA GARROTXA
2;20;EL GIRONES
2;21;MARESME
2;22;MONSIA
2;23;LA NOGERA
2;24;OSONA
2;25;PALLARS JUSSA
2;26;PALLARS SOBIRA
2;27;PLA D URGELL
2;28;PLA D ESTANY
2;29;PRIORAT
2;30;RIBERA D EBRE
2;31;RIPOLLES
2;32;LA SEGARRA
2;33;EL SEGRIA
2;34;LA SELVA
2;35;SOLSONES
2;36;TARRAGONES
2;37;TERRA ALTA
2;38;L URGELL
2;39;VAL D ARAN
2;40;VALLS OCCIDENTAL
2;41;VALLS ORIENTAL
3;1500;INDETERMINADA (C)
3;1501;FERROL
3;1502;BERGANTIÑOS-MARIÑAS COR
3;1503;SANTIAGO-MESETA INTERIOR
3;1504;BARBANZA
3;1505;FISTERRA
3;2700;INDETERMINADA (LU)
3;2706;A MARIÑA LUCENSE
3;2707;FONSAGRADA-OS ANCARES
3;2708;TERRA DE LEMOS
