IdEspacioProtegido;IdTipoEspacioProtegido;Nombre;Superficie
1;94;Valle del Cabriel  (ZEC);421797.00
51;98;El Prado - Rodriguillo;70.92
ES0000000;89;Sin determinar;99999.00
ES0000001;59;Illas Cíes;996.15
ES0000001;93;Illas Cíes;996.15
ES0000001;95;Illas Cíes;16.42
ES0000003;59;PICOS DE EUROPA;23747.08
ES0000003;93;PICOS DE EUROPA;23747.08
ES0000004;93;LAGUNAS DE VILLAFÁFILA;32549.01
ES0000007;93;CAÑÓN DEL RÍO LOBOS;10201.95
ES0000010;93;SIERRA DE GUADARRAMA;68999.99
ES0000011;93;Monte de El Pardo;15289.00
ES0000012;93;Soto de Viñuelas;2977.00
ES0000013;59;TABLAS DE DAIMIEL;2345.79
ES0000013;93;TABLAS DE DAIMIEL;2345.79
ES0000014;93;MONFRAGÜE Y LAS DEHESAS DEL ENTORNO;116093.69
ES0000015;93;SIERRA Y CAÑONES DE GUARA;81411.98
ES0000016;59;ORDESA Y MONTE PERDIDO;15757.91
ES0000016;93;ORDESA Y MONTE PERDIDO;15757.91
ES0000017;93;CUENCA DE GALLOCANTA;15221.43
ES0000018;59;Prepirineu Central català;57268.68
ES0000018;93;Prepirineu Central català;57268.68
ES0000019;59;Aiguamolls de l'Alt Empordà;10899.23
ES0000019;93;Aiguamolls de l'Alt Empordà;10899.23
ES0000020;59;Delta de l'Ebre;48454.11
ES0000020;93;Delta de l'Ebre;48454.11
ES0000021;93;Secans de Mas de Melons-Alfés;7626.16
ES0000022;59;Aigüestortes;56127.05
ES0000022;93;Aigüestortes;56127.05
ES0000023;59;L'Albufera;27537.70
ES0000024;59;DOÑANA;113898.50
ES0000024;93;DOÑANA;113898.50
ES0000025;59;MARISMAS DEL ODIEL;6633.46
ES0000025;93;MARISMAS DEL ODIEL;6633.46
ES0000026;59;COMPLEJO ENDORREICO DE ESPERA;514.77
ES0000026;93;COMPLEJO ENDORREICO DE ESPERA;514.77
ES0000027;59;LAGUNA DE MEDINA;354.90
ES0000027;93;LAGUNA DE MEDINA;354.90
ES0000028;59;COMPLEJO ENDORREICO DE CHICLANA;793.01
ES0000028;93;COMPLEJO ENDORREICO DE CHICLANA;793.01
ES0000029;59;COMPLEJO ENDORREICO DEL PUERTO DE STA. MARIA;260.66
ES0000029;93;COMPLEJO ENDORREICO DEL PUERTO DE STA. MARIA;260.66
ES0000030;59;COMPLEJO ENDORREICO DE PUERTO REAL;863.21
ES0000030;93;COMPLEJO ENDORREICO DE PUERTO REAL;863.21
ES0000031;59;SIERRA DE GRAZALEMA;53410.50
ES0000031;93;SIERRA DE GRAZALEMA;53410.50
ES0000032;59;TORCAL DE ANTEQUERA;2004.85
ES0000032;93;TORCAL DE ANTEQUERA;2004.85
ES0000033;59;LAGUNA DE FUENTE DE PIEDRA;8667.38
ES0000033;93;LAGUNA DE FUENTE DE PIEDRA;8667.38
ES0000034;59;LAGUNAS DEL SUR DE CORDOBA;1501.80
ES0000034;93;LAGUNAS DEL SUR DE CORDOBA;1501.80
ES0000035;59;SIERRAS DE CAZORLA, SEGURA Y LAS VILLAS;210126.73
ES0000035;93;SIERRAS DE CAZORLA, SEGURA Y LAS VILLAS;210126.73
ES0000036;93;Islas Chafarinas;52.88
