IdProvincia;IdComunidad;Nombre;SuperficieArbolada;SuperficieForestal;IdNuts3
1;1;ALAVA;140318.0;1891315.0;ES211
2;11;ALBACETE;40399183.0;62206388.0;ES421
3;9;ALICANTE;112895.0;250320.0;ES521
4;4;ALMERIA;154811.0;587651.0;ES611
5;17;AVILA;177870.0;525549.0;ES411
6;14;BADAJOZ;347450.0;117624.0;ES431
7;15;ILLES BALEARS;17877096.0;22078568.0;ES530
8;2;BARCELONA;429388.0;491684.0;ES511
9;17;BURGOS;45715736.0;68113515.0;ES412
10;14;CACERES;43638849.0;1550985.0;ES432
11;4;CADIZ;18914846.0;34956663.0;ES612
12;9;CASTELLON;248576.0;423113.0;ES522
13;11;CIUDAD REAL;40749309.0;86175611.0;ES422
14;4;CORDOBA;24829528.0;65390605.0;ES613
15;3;A CORUÑA;409917.0;501586.0;ES111
16;11;CUENCA;66634946.0;81028825.0;ES423
17;2;GIRONA;395930.0;415654.0;ES512
18;4;GRANADA;300700.0;643244.0;ES614
19;11;GUADALAJARA;52091951.0;76429981.0;ES424
20;1;GUIPUZCOA;124574.0;146587.0;ES212
21;4;HUELVA;402434.0;756457.0;ES615
22;10;HUESCA;57034413.0;93408526.0;ES241
23;4;JAEN;392982.0;627465.0;ES616
24;17;LEON;16728066.0;999999.0;ES413
25;2;LLEIDA;507753.0;733801.0;ES513
26;7;LA RIOJA;163206.0;301476.0;ES230
27;3;LUGO;481712.0;656843.0;ES112
28;16;MADRID;22540237.0;42009334.0;ES300
29;4;MALAGA;17480297.0;36224087.0;ES617
30;8;MURCIA;189114.0;50578154.0;ES621
31;13;NAVARRA;423308.0;594356.0;ES220
32;3;OURENSE;297508.0;575264.0;ES113
33;5;ASTURIAS;44431067.0;77054963.0;ES120
34;17;PALENCIA;16370571.0;25113805.0;ES414
35;12;LAS PALMAS;17730.0;310410.0;ES701
36;3;PONTEVEDRA;206969.0;296988.0;ES114
37;17;SALAMANCA;188557.0;795679.0;ES415
38;12;S.C. TENERIFE;104372.0;253235.0;ES702
39;6;CANTABRIA;20566308.0;36379337.0;ES130
40;17;SEGOVIA;21871015.0;32903279.0;ES416
41;4;SEVILLA;183263.0;411269.0;ES618
42;17;SORIA;39740157.0;59714325.0;ES417
43;2;TARRAGONA;238173.0;289343.0;ES514
44;10;TERUEL;54802583.0;93016879.0;ES242
45;11;TOLEDO;23924651.0;50637123.0;ES425
46;9;VALENCIA;318598.0;581905.0;ES523
47;17;VALLADOLID;12119848.0;14513669.0;ES418
48;1;VIZCAYA;130376.0;159336.0;ES213
49;17;ZAMORA;201854.0;482604.0;ES419
50;10;ZARAGOZA;33990689.0;74405824.0;ES243
51;18;CEUTA;450.0;3200.0;ES630
52;19;MELILLA;10.0;100.0;ES640
92;99;ISRAEL;0.0;0.0;
93;99;BULGARIA;0.0;0.0;
94;99;ITALIA;0.0;0.0;
95;99;GRECIA;0.0;0.0;
96;99;ARGELIA;0.0;0.0;
97;99;MARRUECOS;0.0;0.0;
98;99;PORTUGAL;0.0;0.0;
99;99;FRANCIA;0.0;0.0;
