IdCausa;IdIdioma;IdGrupoCausa
100;0;10
100;1;10
100;2;10
100;3;10
100;4;10
100;5;10
210;0;21
210;1;21
210;2;21
210;3;21
210;4;21
210;5;21
211;0;21
211;1;21
211;2;21
211;3;21
211;4;21
211;5;21
212;0;21
212;1;21
212;2;21
212;3;21
212;4;21
212;5;21
213;0;21
213;1;21
213;2;21
213;3;21
213;4;21
213;5;21
214;0;21
214;1;21
214;2;21
214;3;21
214;4;21
214;5;21
215;0;21
215;1;21
215;2;21
215;3;21
215;4;21
215;5;21
216;0;21
216;1;21
216;2;21
216;3;21
216;4;21
216;5;21
220;0;22
220;1;22
220;2;22
220;3;22
220;4;22
220;5;22
221;0;22
221;1;22
221;2;22
221;3;22
221;4;22
221;5;22
222;0;22
222;1;22
222;2;22
222;3;22
222;4;22
222;5;22
230;0;23
230;1;23
230;2;23
230;3;23
230;4;23
230;5;23
231;0;23
231;1;23
231;2;23
231;3;23
231;4;23
231;5;23
240;0;24
240;1;24
240;2;24
240;3;24
240;4;24
240;5;24
241;0;24
241;1;24
241;2;24
241;3;24
241;4;24
241;5;24
242;0;24
242;1;24
242;2;24
242;3;24
242;4;24
242;5;24
243;0;24
243;1;24
243;2;24
243;3;24
243;4;24
243;5;24
244;0;24
244;1;24
244;2;24
244;3;24
244;4;24
244;5;24
250;0;25
250;1;25
250;2;25
250;3;25
250;4;25
250;5;25
260;0;26
260;1;26
260;2;26
260;3;26
260;4;26
260;5;26
261;0;26
261;1;26
261;2;26
261;3;26
261;4;26
261;5;26
262;0;26
262;1;26
262;2;26
262;3;26
262;4;26
262;5;26
270;0;26
270;1;26
270;2;26
270;3;26
270;4;26
270;5;26
280;0;28
280;1;28
280;2;28
280;3;28
280;4;28
280;5;28
281;0;28
281;1;28
281;2;28
281;3;28
281;4;28
281;5;28
282;0;28
282;1;28
282;2;28
282;3;28
282;4;28
282;5;28
283;0;28
283;1;28
283;2;28
283;3;28
283;4;28
283;5;28
284;0;28
284;1;28
284;2;28
284;3;28
284;4;28
284;5;28
285;0;28
285;1;28
285;2;28
285;3;28
285;4;28
285;5;28
286;0;28
286;1;28
286;2;28
286;3;28
286;4;28
286;5;28
290;0;29
290;1;29
290;2;29
290;3;29
290;4;29
290;5;29
291;0;29
291;1;29
291;2;29
291;3;29
291;4;29
291;5;29
292;0;29
292;1;29
292;2;29
292;3;29
292;4;29
292;5;29
293;0;29
293;1;29
293;2;29
293;3;29
293;4;29
293;5;29
294;0;29
294;1;29
294;2;29
294;3;29
294;4;29
294;5;29
295;0;29
295;1;29
295;2;29
295;3;29
295;4;29
295;5;29
296;0;29
296;1;29
296;2;29
296;3;29
296;4;29
296;5;29
297;0;29
297;1;29
297;2;29
297;3;29
297;4;29
297;5;29
298;0;29
298;1;29
298;2;29
298;3;29
298;4;29
298;5;29
299;0;29
299;1;29
299;2;29
299;3;29
299;4;29
299;5;29
300;0;29
300;1;29
300;2;29
300;3;29
300;4;29
300;5;29
301;0;29
301;1;29
301;2;29
301;3;29
301;4;29
301;5;29
310;0;31
310;1;31
310;2;31
310;3;31
310;4;31
310;5;31
311;0;31
311;1;31
311;2;31
311;3;31
311;4;31
311;5;31
312;0;31
312;1;31
312;2;31
312;3;31
312;4;31
312;5;31
320;0;32
320;1;32
320;2;32
320;3;32
320;4;32
320;5;32
321;0;32
321;1;32
321;2;32
321;3;32
321;4;32
321;5;32
322;0;32
322;1;32
322;2;32
322;3;32
322;4;32
322;5;32
323;0;32
323;1;32
323;2;32
323;3;32
323;4;32
323;5;32
324;0;32
324;1;32
324;2;32
324;3;32
324;4;32
324;5;32
325;0;32
325;1;32
325;2;32
325;3;32
325;4;32
325;5;32
326;0;32
326;1;32
326;2;32
326;3;32
326;4;32
326;5;32
327;0;32
327;1;32
327;2;32
327;3;32
327;4;32
327;5;32
330;0;33
330;1;33
330;2;33
330;3;33
330;4;33
330;5;33
331;0;33
331;1;33
331;2;33
331;3;33
331;4;33
331;5;33
332;0;33
332;1;33
332;2;33
332;3;33
332;4;33
332;5;33
334;0;33
334;1;33
334;2;33
334;3;33
334;4;33
334;5;33
335;0;33
335;1;33
335;2;33
335;3;33
335;4;33
335;5;33
336;0;33
336;1;33
336;2;33
336;3;33
336;4;33
336;5;33
337;0;33
337;1;33
337;2;33
337;3;33
337;4;33
337;5;33
340;0;34
340;1;34
340;2;34
340;3;34
340;4;34
340;5;34
341;0;34
341;1;34
341;2;34
341;3;34
341;4;34
341;5;34
342;0;34
342;1;34
342;2;34
342;3;34
342;4;34
342;5;34
350;0;33
350;1;33
350;2;33
350;3;33
350;4;33
350;5;33
351;0;33
351;1;33
351;2;33
351;3;33
351;4;33
351;5;33
352;0;33
352;1;33
352;2;33
352;3;33
352;4;33
352;5;33
353;0;33
353;1;33
353;2;33
353;3;33
353;4;33
353;5;33
354;0;33
354;1;33
354;2;33
354;3;33
354;4;33
354;5;33
360;0;33
360;1;33
360;2;33
360;3;33
360;4;33
360;5;33
361;0;33
361;1;33
361;2;33
361;3;33
361;4;33
361;5;33
362;0;33
362;1;33
362;2;33
362;3;33
362;4;33
362;5;33
363;0;33
363;1;33
363;2;33
363;3;33
363;4;33
363;5;33
364;0;33
364;1;33
364;2;33
364;3;33
364;4;33
364;5;33
370;0;37
370;1;37
370;2;37
370;3;37
370;4;37
370;5;37
371;0;37
371;1;37
371;2;37
371;3;37
371;4;37
371;5;37
372;0;37
372;1;37
372;2;37
372;3;37
372;4;37
372;5;37
399;0;29
399;1;29
399;2;29
399;3;29
399;4;29
399;5;29
400;0;40
400;1;40
400;2;40
400;3;40
400;4;40
400;5;40
500;0;50
500;1;50
500;2;50
500;3;50
500;4;50
500;5;50
600;0;60
600;1;60
600;2;60
600;3;60
600;4;60
600;5;60
