IdMotivacion;IdIdioma;IdGrupoMotivacion
400;0;48
400;1;48
400;2;48
400;3;48
400;4;48
400;5;48
401;0;40
401;1;40
401;2;40
401;3;40
401;4;40
401;5;40
402;0;40
402;1;40
402;2;40
402;3;40
402;4;40
402;5;40
403;0;48
403;1;48
403;2;48
403;3;48
403;4;48
403;5;48
404;0;40
404;1;40
404;2;40
404;3;40
404;4;40
404;5;40
405;0;40
405;1;40
405;2;40
405;3;40
405;4;40
405;5;40
411;0;41
411;1;41
411;2;41
411;3;41
411;4;41
411;5;41
412;0;41
412;1;41
412;2;41
412;3;41
412;4;41
412;5;41
421;0;42
421;1;42
421;2;42
421;3;42
421;4;42
421;5;42
431;0;43
431;1;43
431;2;43
431;3;43
431;4;43
431;5;43
432;0;43
432;1;43
432;2;43
432;3;43
432;4;43
432;5;43
433;0;43
433;1;43
433;2;43
433;3;43
433;4;43
433;5;43
434;0;43
434;1;43
434;2;43
434;3;43
434;4;43
434;5;43
441;0;44
441;1;44
441;2;44
441;3;44
441;4;44
441;5;44
442;0;44
442;1;44
442;2;44
442;3;44
442;4;44
442;5;44
443;0;44
443;1;44
443;2;44
443;3;44
443;4;44
443;5;44
444;0;44
444;1;44
444;2;44
444;3;44
444;4;44
444;5;44
451;0;45
451;1;45
451;2;45
451;3;45
451;4;45
451;5;45
452;0;45
452;1;45
452;2;45
452;3;45
452;4;45
452;5;45
453;0;45
453;1;45
453;2;45
453;3;45
453;4;45
453;5;45
461;0;46
461;1;46
461;2;46
461;3;46
461;4;46
461;5;46
462;0;46
462;1;46
462;2;46
462;3;46
462;4;46
462;5;46
463;0;46
463;1;46
463;2;46
463;3;46
463;4;46
463;5;46
464;0;46
464;1;46
464;2;46
464;3;46
464;4;46
464;5;46
471;0;47
471;1;47
471;2;47
471;3;47
471;4;47
471;5;47
472;0;47
472;1;47
472;2;47
472;3;47
472;4;47
472;5;47
481;0;48
481;1;48
481;2;48
481;3;48
481;4;48
481;5;48
482;0;48
482;1;48
482;2;48
482;3;48
482;4;48
482;5;48
483;0;48
483;1;48
483;2;48
483;3;48
483;4;48
483;5;48
484;0;48
484;1;48
484;2;48
484;3;48
484;4;48
484;5;48
499;0;48
499;1;48
499;2;48
499;3;48
499;4;48
499;5;48
