tabla;filas;destino;estado
CatalogoMonte;56023;CatalogoMonte.csv;ok
CodAprovechamiento;42;CodAprovechamiento.csv;ok
CodAtaque;18;CodAtaque.csv;ok
CodAutorizacionActividad;24;CodAutorizacionActividad.csv;ok
CodCausa;522;CodCausa.csv;ok
CodCausante;12;CodCausante.csv;ok
CodCertidumbreCausa;12;CodCertidumbreCausa.csv;ok
CodClaseDia;24;CodClaseDia.csv;ok
CodConsecuenciaPersona;12;CodConsecuenciaPersona.csv;ok
CodDatum;4;CodDatum.csv;ok
CodDemanialMonte;24;CodDemanialMonte.csv;ok
CodDetectadoPor;66;CodDetectadoPor.csv;ok
CodEspecieArbol;185;CodEspecieArbol.csv;ok
CodEstacionMeteorologica;1888;CodEstacionMeteorologica.csv;ok
CodEstadoMasa;24;CodEstadoMasa.csv;ok
CodEstadoPif;6;CodEstadoPif.csv;ok
CodGradoResponsabilidad;30;CodGradoResponsabilidad.csv;ok
CodGrupoCausa;102;CodGrupoCausa.csv;ok
CodGrupoMedioRetardante;18;CodGrupoMedioRetardante.csv;ok
CodGrupoMotivacion;54;CodGrupoMotivacion.csv;ok
CodIdioma;6;CodIdioma.csv;ok
CodIncidenciaProtecCivil;36;CodIncidenciaProtecCivil.csv;ok
CodIniciadoJuntoA;54;CodIniciadoJuntoA.csv;ok
CodInvestigacionCausa;18;CodInvestigacionCausa.csv;ok
CodMedioAereo;30;CodMedioAereo.csv;ok
CodMedioPersonalExt;48;CodMedioPersonalExt.csv;ok
CodMedioPesado;48;CodMedioPesado.csv;ok
CodMfeFormacionArborea;63;CodMfeFormacionArborea.csv;ok
CodMfeTipoEstructural;35;CodMfeTipoEstructural.csv;ok
CodModeloCombustion;24;CodModeloCombustion.csv;ok
CodMotivacion;186;CodMotivacion.csv;ok
CodNivelGravedad;24;CodNivelGravedad.csv;ok
CodNoArboladoHerbaceo;18;CodNoArboladoHerbaceo.csv;ok
CodNoArboladoLenioso;12;CodNoArboladoLenioso.csv;ok
CodNoForestal;18;CodNoForestal.csv;ok
CodPeligro;30;CodPeligro.csv;ok
CodPorcentajeAutoRegenerable;18;CodPorcentajeAutoRegenerable.csv;ok
CodRetardante;24;CodRetardante.csv;ok
CodRiesgo;18;CodRiesgo.csv;ok
CodTipoArea;36;CodTipoArea.csv;ok
CodTipoAtaqueIndirecto;18;CodTipoAtaqueIndirecto.csv;ok
CodTipoEfecto;18;CodTipoEfecto.csv;ok
CodTipoEspacioProtegido;300;CodTipoEspacioProtegido.csv;ok
CodTipoFuego;24;CodTipoFuego.csv;ok
CodTipoProducto;24;CodTipoProducto.csv;ok
CodTipoRenta;24;CodTipoRenta.csv;ok
CodTipoVictima;12;CodTipoVictima.csv;ok
CodTitularidadMedio;18;CodTitularidadMedio.csv;ok
CodTitularidadMonte;30;CodTitularidadMonte.csv;ok
CodTransportePersonal;18;CodTransportePersonal.csv;ok
CodVigilanteFijo;1579;CodVigilanteFijo.csv;ok
Cod_Causas_USOS;22;Cod_Causas_USOS.csv;ok
ComarcaIsla;461;ComarcaIsla.csv;ok
Comunidad;20;Comunidad.csv;ok
EntidadMenor;29223;EntidadMenor.csv;ok
EspacioProtegido;3956;EspacioProtegido.csv;ok
Municipio;8390;Municipio.csv;ok
Provincia;60;Provincia.csv;ok
Regiones_Geograficas;8329;Regiones_Geograficas.csv;ok
RelGrupoCausa;480;RelGrupoCausa.csv;ok
RelGrupoMotivacion;186;RelGrupoMotivacion.csv;ok
