tipo;tabla;campo;referencia_tabla;referencia_campo;etiqueta;campos_en_la_clave;id_relacion;nota
catalogo;ParteMonte;IdCatalogoMonte;CatalogoMonte;IdCatalogoMonte;Descripcion;1;1;
catalogo;ParteMonte;IdComunidad;Municipio;IdComunidad;Nombre;3;113;
catalogo;ParteMonte;IdDemanialMonte;CodDemanialMonte;IdDemanialMonte;Descripcion;1;11;
catalogo;ParteMonte;IdMunicipio;Municipio;IdMunicipio;Nombre;3;113;
catalogo;ParteMonte;IdProvincia;Municipio;IdProvincia;Nombre;3;113;
catalogo;ParteMonte;IdTitularidadMonte;CodTitularidadMonte;IdTitularidadMonte;Descripcion;1;100;
catalogo;RelArboladoAfectadoParteMonte;IdEspecie;CodEspecieArbol;IdEspecie;Descripcion;1;13;
catalogo;RelAtaquePif;IdAtaque;CodAtaque;IdAtaque;Descripcion;1;3;
catalogo;RelEspacioProtegidoPif;IdEspacioProtegido;EspacioProtegido;IdEspacioProtegido;Nombre;2;109;
catalogo;RelEspacioProtegidoPif;IdTipoEspacioProtegido;EspacioProtegido;IdTipoEspacioProtegido;Nombre;2;109;
catalogo;RelFactorCalculoPerdidaParteMonte;IdEspecie;CodEspecieArbol;IdEspecie;Descripcion;1;14;
catalogo;RelFactorProductoOtrosParteMonte;IdTipoProducto;CodTipoProducto;IdTipoProducto;Descripcion;1;94;
catalogo;RelFactorRentaParteMonte;IdTipoRenta;CodTipoRenta;IdTipoRenta;Descripcion;1;95;
catalogo;RelGrupoMedioRetardantePif;IdGrupoMedioRetardante;CodGrupoMedioRetardante;IdGrupoMedioRetardante;Descripcion;1;24;
catalogo;RelIncidenciasProtecCivilPif;IdIncidenciaProtecCivil;CodIncidenciaProtecCivil;IdIncidenciaProtecCivil;Descripcion;1;69;
catalogo;RelIniciadoJuntoAPif;IdIniciadoJuntoA;CodIniciadoJuntoA;IdIniciadoJuntoA;Descripcion;1;70;
catalogo;RelMedioAereoPif;IdMedioAereo;CodMedioAereo;IdMedioAereo;Descripcion;1;72;
catalogo;RelMedioAereoPif;IdTitularidadMedio;CodTitularidadMedio;IdTitularidadMedio;Descripcion;1;97;
catalogo;RelMedioPersonalPif;IdMedioPersonalExt;CodMedioPersonalExt;IdMedioPersonalExt;Descripcion;1;73;
catalogo;RelMedioPersonalPif;IdTitularidadMedio;CodTitularidadMedio;IdTitularidadMedio;Descripcion;1;98;
catalogo;RelMedioPesadoPif;IdMedioPesado;CodMedioPesado;IdMedioPesado;Descripcion;1;74;
catalogo;RelMedioPesadoPif;IdTitularidadMedio;CodTitularidadMedio;IdTitularidadMedio;Descripcion;1;99;
catalogo;RelModeloCombustionPif;IdModeloCombustion;CodModeloCombustion;IdModeloCombustion;Descripcion;1;77;
catalogo;RelNoArboladoHerbaceoParteMonte;IdNoArboladoHerbaceo;CodNoArboladoHerbaceo;IdNoArboladoHerbaceo;Descripcion;1;80;
catalogo;RelNoArboladoLeniosoParteMonte;IdNoArboladoLenioso;CodNoArboladoLenioso;IdNoArboladoLenioso;Descripcion;1;81;
catalogo;RelNoForestalAfectadoParteMonte;IdNoForestal;CodNoForestal;IdNoForestal;Descripcion;1;82;
catalogo;RelOtraPerdidaParteMonte;IdAprovechamiento;CodAprovechamiento;IdAprovechamiento;Descripcion;1;2;
catalogo;RelPerdidaMontePif;IdTitularidadMonte;CodTitularidadMonte;IdTitularidadMonte;Descripcion;1;101;
catalogo;RelRetardantePif;IdRetardante;CodRetardante;IdRetardante;Descripcion;1;85;
catalogo;RelTeselaAfectadaPif;IdEspecie1;CodEspecieArbol;IdEspecie;Descripcion;1;15;
catalogo;RelTeselaAfectadaPif;IdEspecie2;CodEspecieArbol;IdEspecie;Descripcion;1;16;
catalogo;RelTeselaAfectadaPif;IdEstado1;CodEstadoMasa;IdEstadoMasa;Descripcion;1;19;
catalogo;RelTeselaAfectadaPif;IdEstado2;CodEstadoMasa;IdEstadoMasa;Descripcion;1;20;
catalogo;RelTeselaAfectadaPif;IdEstado3;CodEspecieArbol;IdEspecie;Descripcion;1;17;CONTRADICTORIO en la plantilla: mapeado a CodEspecieArbol, CodEstadoMasa
catalogo;RelTeselaAfectadaPif;IdEstado3;CodEstadoMasa;IdEstadoMasa;Descripcion;1;21;CONTRADICTORIO en la plantilla: mapeado a CodEspecieArbol, CodEstadoMasa
catalogo;RelTeselaAfectadaPif;IdTipoEstructural;CodMfeTipoEstructural;IdTipoEstructural;PrimeraDefinicion;1;76;
catalogo;RelTeselaAfectadaPif;IdTipoFormacionArborea;CodMfeFormacionArborea;IdClave;Descripcion;1;75;
catalogo;RelTipoAreaIniciadoPif;IdTipoArea;CodTipoArea;IdTipoArea;Descripcion;1;87;
catalogo;RelTipoAtaqueIndirectoPif;IdTipoAtaqueIndirecto;CodTipoAtaqueIndirecto;IdTipoAtaqueIndirecto;Descripcion;1;88;
catalogo;RelTipoFuegoPif;IdTipoFuego;CodTipoFuego;IdTipoFuego;Descripcion;1;93;
catalogo;RelTransportePersonalPif;IdTransportePersonal;CodTransportePersonal;IdTransportePersonal;Descripcion;1;102;
catalogo;RelVictimaPif;IdConsecuenciaPersona;CodConsecuenciaPersona;IdConsecuenciaPersona;Descripcion;1;9;
catalogo;RelVictimaPif;IdTipoVictima;CodTipoVictima;IdTipoVictima;Descripcion;1;96;
catalogo;pif_anexo;idalteracionpaisaje;CodTipoEfecto;IdTipoEfecto;Descripcion;1;90;
catalogo;pif_anexo;idefectoeneconomia;CodTipoEfecto;IdTipoEfecto;Descripcion;1;91;
catalogo;pif_anexo;idefectovidasilvestre;CodTipoEfecto;IdTipoEfecto;Descripcion;1;89;
catalogo;pif_anexo;idporcentajeautoregenerable;CodPorcentajeAutoRegenerable;IdPorcentajeAutoRegenerable;Descripcion;1;84;
catalogo;pif_anexo;idriesgoerosion;CodRiesgo;IdRiesgo;Descripcion;1;86;
catalogo;pif_causa;idautorizacionactividad;CodAutorizacionActividad;IdAutorizacionActividad;Descripcion;1;4;
catalogo;pif_causa;idcausa;CodCausa;IdCausa;Descripcion;1;6;
catalogo;pif_causa;idcausante;CodCausante;IdCausante;Descripcion;1;5;
catalogo;pif_causa;idcertidumbrecausa;CodCertidumbreCausa;IdCertidumbreCausa;Descripcion;1;7;
catalogo;pif_causa;idclasedia;CodClaseDia;IdClaseDia;Descripcion;1;8;
catalogo;pif_causa;idgradoresponsabilidad;CodGradoResponsabilidad;IdGradoResponsabilidad;Descripcion;1;23;
catalogo;pif_causa;idinvestigacioncausa;CodInvestigacionCausa;IdInvestigacionCausa;Descripcion;1;71;
catalogo;pif_causa;idmotivacion;CodMotivacion;IdMotivacion;Descripcion;1;78;
catalogo;pif_comun;idestadopif;CodEstadoPif;IdEstadoPif;Descripcion;1;22;
catalogo;pif_comun;idpeligro;CodPeligro;IdPeligro;Descripcion;1;83;
catalogo;pif_condiciones;idestacionmeteorologica;CodEstacionMeteorologica;IdEstacionMeteorologica;Nombre;1;18;
