nivel;tabla;clave_union;filas;columnas;fichero
nivel_incendio;RelAsociadoPif;numeroparte;7813;3;nivel_incendio/RelAsociadoPif.csv
nivel_incendio;RelAtaquePif;numeroparte;667118;3;nivel_incendio/RelAtaquePif.csv
nivel_incendio;RelEspacioProtegidoPif;numeroparte;44815;8;nivel_incendio/RelEspacioProtegidoPif.csv
nivel_incendio;RelGrupoMedioRetardantePif;numeroparte;646683;3;nivel_incendio/RelGrupoMedioRetardantePif.csv
nivel_incendio;RelIncidenciasProtecCivilPif;numeroparte;10473;3;nivel_incendio/RelIncidenciasProtecCivilPif.csv
nivel_incendio;RelIniciadoJuntoAPif;numeroparte;653320;3;nivel_incendio/RelIniciadoJuntoAPif.csv
nivel_incendio;RelMedioAereoPif;numeroparte;153129;7;nivel_incendio/RelMedioAereoPif.csv
nivel_incendio;RelMedioPersonalPif;numeroparte;1770805;5;nivel_incendio/RelMedioPersonalPif.csv
nivel_incendio;RelMedioPesadoPif;numeroparte;481534;5;nivel_incendio/RelMedioPesadoPif.csv
nivel_incendio;RelModeloCombustionCampoPif;numeroparte;23429;3;nivel_incendio/RelModeloCombustionCampoPif.csv
nivel_incendio;RelModeloCombustionPif;numeroparte;924090;3;nivel_incendio/RelModeloCombustionPif.csv
nivel_incendio;RelPerdidaMontePif;numeroparte;643713;5;nivel_incendio/RelPerdidaMontePif.csv
nivel_incendio;RelRetardantePif;numeroparte;84886;3;nivel_incendio/RelRetardantePif.csv
nivel_incendio;RelTeselaAfectadaPif;numeroparte;17181;17;nivel_incendio/RelTeselaAfectadaPif.csv
nivel_incendio;RelTipoAreaIniciadoPif;numeroparte;118270;3;nivel_incendio/RelTipoAreaIniciadoPif.csv
nivel_incendio;RelTipoAtaqueIndirectoPif;numeroparte;31099;3;nivel_incendio/RelTipoAtaqueIndirectoPif.csv
nivel_incendio;RelTipoFuegoPif;numeroparte;700893;3;nivel_incendio/RelTipoFuegoPif.csv
nivel_incendio;RelTransportePersonalPif;numeroparte;720684;3;nivel_incendio/RelTransportePersonalPif.csv
nivel_incendio;RelVictimaPif;numeroparte;16579;5;nivel_incendio/RelVictimaPif.csv
nivel_monte;ParteMonte;numeroparte;681181;26;nivel_monte/ParteMonte.csv
nivel_monte;RelArboladoAfectadoParteMonte;numeroparte + idpartemonte;327108;10;nivel_monte/RelArboladoAfectadoParteMonte.csv
nivel_monte;RelFactorCalculoPerdidaParteMonte;numeroparte + idpartemonte;386035;18;nivel_monte/RelFactorCalculoPerdidaParteMonte.csv
nivel_monte;RelFactorProductoOtrosParteMonte;numeroparte + idpartemonte;8823;5;nivel_monte/RelFactorProductoOtrosParteMonte.csv
nivel_monte;RelFactorRentaParteMonte;numeroparte + idpartemonte;12812;5;nivel_monte/RelFactorRentaParteMonte.csv
nivel_monte;RelNoArboladoHerbaceoParteMonte;numeroparte + idpartemonte;118226;5;nivel_monte/RelNoArboladoHerbaceoParteMonte.csv
nivel_monte;RelNoArboladoLeniosoParteMonte;numeroparte + idpartemonte;426336;5;nivel_monte/RelNoArboladoLeniosoParteMonte.csv
nivel_monte;RelNoForestalAfectadoParteMonte;numeroparte + idpartemonte;34751;5;nivel_monte/RelNoForestalAfectadoParteMonte.csv
nivel_monte;RelOtraPerdidaParteMonte;numeroparte + idpartemonte;254008;5;nivel_monte/RelOtraPerdidaParteMonte.csv
